f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190
0.347353,0.031593,0.025942,0.009381,0.019301,0.07768,0.225729,0.358094,0.746614,1.00798,0.073607,0.216639,0.351214,0.730388,1.01191,0.091128,0.292138,0.57459,1.13442,1.12673,0.082497,0.277705,0.616321,1.15953,1.16346,0.138612,0.277229,0.526926,0.773959,1.11594,0.0954151,0.234591,0.301651,0.624549,0.795098,0.0985861,0.285087,0.529877,0.841057,1.19158,0.101957,0.212566,0.286,0.678069,0.826089,0.373357,0.040656,0.037722,0.026684,0.009371,0.065991,0.24408,0.485446,1.09261,1.25212,0.064217,0.245496,0.476967,1.08309,1.2667,0.075708,0.288338,0.544957,1.01386,0.986536,0.071435,0.249942,0.506118,1.01963,0.974067,0.115276,0.331121,0.597957,0.948889,1.22041,0.0760004,0.18511,0.376149,0.776057,0.849983,0.143198,0.271307,0.573703,0.943582,1.198,0.0926562,0.185875,0.349996,0.720156,0.808543
0.114769,0.050985,0.030404,0.010306,0.019094,0.066691,0.29222,0.535203,0.716513,1.10136,0.064595,0.286423,0.570502,0.733461,1.11237,0.079092,0.382881,0.870354,1.0814,1.15961,0.071497,0.321042,0.82292,1.05951,1.11534,0.126766,0.370315,0.525164,0.65808,0.869323,0.109514,0.275533,0.671771,0.946673,1.33969,0.120422,0.390666,0.519737,0.637008,0.904396,0.0956471,0.297962,0.659205,0.912936,1.35754,0.039996,0.060548,0.044839,0.025607,0.009299,0.062424,0.295827,0.678711,0.938463,1.29013,0.064483,0.314563,0.717402,0.945115,1.30692,0.073419,0.36432,0.755846,0.883607,0.988962,0.068422,0.320922,0.744797,0.883047,0.974925,0.108069,0.397497,0.540634,0.643038,0.878642,0.0748772,0.289679,0.752239,0.914685,1.35374,0.0916957,0.342828,0.526102,0.630443,0.894401,0.0920344,0.242906,0.709058,0.896062,1.40477
0.105624,0.07582,0.048596,0.013175,0.028503,0.113307,0.447205,0.769022,0.894219,1.55754,0.098838,0.38183,0.72828,0.920208,1.56291,0.139772,0.561298,1.20799,1.40793,1.72647,0.126813,0.499653,1.14196,1.37647,1.74171,0.195447,0.567909,1.14319,1.1301,1.55571,0.180443,0.357824,0.649371,0.775522,1.17616,0.194756,0.580616,1.12708,1.21052,1.59742,0.154515,0.369056,0.66075,0.821066,1.22191,0.109588,0.091018,0.067987,0.031308,0.015087,0.115986,0.46008,0.949027,1.19939,1.85913,0.107761,0.427689,0.922004,1.2254,1.89443,0.12692,0.519404,1.05855,1.1384,1.46831,0.117365,0.471856,1.00653,1.11393,1.43406,0.215774,0.662207,1.10067,1.19684,1.61085,0.151755,0.421758,0.615424,0.789581,1.22137,0.1897,0.591571,1.12972,1.17391,1.58465,0.131808,0.395219,0.594184,0.742286,1.25371
0.103128,0.028339,0.019572,0.009479,0.020193,0.050726,0.169174,0.325237,0.745268,1.22645,0.088409,0.179626,0.397255,0.759189,1.26586,0.081411,0.211653,0.550743,1.02628,1.45326,0.108703,0.237145,0.553071,1.03256,1.38606,0.125791,0.227821,0.42733,0.583349,1.18359,0.137531,0.286865,0.713828,1.07588,1.20125,0.0813,0.240744,0.441859,0.566285,1.15663,0.168577,0.288905,0.700784,1.09978,1.22127,0.090953,0.03275,0.028847,0.020002,0.016604,0.070025,0.187936,0.421096,0.943458,1.48421,0.102001,0.195006,0.475422,0.941909,1.54065,0.074173,0.200001,0.46359,0.837853,1.21223,0.099377,0.234197,0.480761,0.854269,1.15957,0.0665793,0.22722,0.397537,0.560792,1.14936,0.140327,0.302781,0.710639,1.09604,1.23399,0.0659072,0.235069,0.399109,0.554505,1.15252,0.127044,0.277035,0.711645,1.08088,1.2313
0.11648,0.053713,0.026091,0.010216,0.011332,0.08677,0.239496,0.349578,0.792568,0.782887,0.086501,0.268407,0.422618,0.810212,0.776405,0.098681,0.320201,0.617959,1.17005,0.944988,0.101529,0.334557,0.566344,1.16022,0.955823,0.126108,0.269466,0.490711,0.851988,0.691631,0.135706,0.337762,0.515381,0.698202,0.75247,0.108557,0.263009,0.492204,0.843526,0.680178,0.11005,0.337189,0.467559,0.670364,0.756965,0.124813,0.060038,0.036165,0.0243,0.011003,0.091423,0.270516,0.452202,1.02061,0.943311,0.087382,0.290442,0.517748,1.04182,0.952197,0.106638,0.298253,0.540853,0.955084,0.777338,0.105371,0.324664,0.500204,0.928283,0.768912,0.114356,0.241766,0.453598,0.82067,0.681039,0.112041,0.318152,0.442356,0.657062,0.754229,0.104986,0.273627,0.515166,0.838892,0.682951,0.0997809,0.346292,0.483161,0.65866,0.751626
0.034882,0.025375,0.011677,0.008804,0.013145,0.036493,0.1451,0.174189,0.552906,0.77843,0.044807,0.150573,0.182299,0.571506,0.771158,0.042425,0.202419,0.282695,0.850102,0.889702,0.046617,0.16718,0.252656,0.826327,0.931498,0.069584,0.207881,0.312066,0.493308,0.683123,0.0767588,0.175516,0.279103,0.623753,0.771894,0.058367,0.213137,0.33798,0.50859,0.682871,0.0709445,0.199352,0.229322,0.633206,0.77652,0.061674,0.030614,0.01603,0.019536,0.008704,0.03509,0.147549,0.202736,0.729227,0.94645,0.043491,0.17169,0.225026,0.740235,0.936341,0.040762,0.187536,0.248591,0.684028,0.750868,0.051433,0.162665,0.221076,0.68229,0.759794,0.0716737,0.220505,0.340788,0.473119,0.688708,0.0744214,0.164593,0.253429,0.633701,0.773749,0.07885,0.221963,0.339302,0.4924,0.667191,0.109389,0.194824,0.247542,0.620242,0.740946
0.118193,0.039382,0.028714,0.018865,0.026798,0.105208,0.224103,0.590535,1.47915,1.61673,0.095396,0.202375,0.511198,1.40035,1.5945,0.117803,0.280463,0.854534,2.10949,1.83603,0.111983,0.258329,0.883915,2.16835,1.83513,0.150367,0.288945,0.675824,1.45968,1.4567,0.0946263,0.193096,0.583116,1.41321,1.30426,0.136572,0.299121,0.707646,1.52443,1.44441,0.1507,0.209277,0.555885,1.38959,1.33405,0.102957,0.04499,0.043343,0.046938,0.01932,0.114495,0.244326,0.695158,1.85356,1.95123,0.101618,0.224947,0.644003,1.80864,1.95725,0.120031,0.273825,0.723829,1.71807,1.54301,0.113998,0.253495,0.743095,1.74802,1.53284,0.159868,0.289941,0.714927,1.47877,1.46213,0.12001,0.244076,0.534544,1.42443,1.34671,0.129608,0.321446,0.656202,1.47305,1.43328,0.131967,0.210764,0.53849,1.37201,1.30789
0.140004,0.058421,0.028911,0.01489,0.01213,0.123998,0.282798,0.598531,1.04996,0.684616,0.115614,0.320725,0.600328,1.01221,0.694856,0.114988,0.355768,0.945196,1.5284,0.792875,0.131523,0.427596,1.01194,1.58991,0.806522,0.164911,0.359881,0.583229,1.13076,0.712873,0.203491,0.508472,0.911963,1.10327,0.86189,0.139362,0.33161,0.599259,1.10087,0.732014,0.183136,0.525514,0.836146,1.061,0.878262,0.180009,0.0687,0.043169,0.035834,0.008521,0.123168,0.32112,0.778962,1.34547,0.813543,0.114501,0.353925,0.759574,1.31606,0.830657,0.12624,0.33459,0.799127,1.25824,0.668398,0.140903,0.403315,0.860735,1.29007,0.650936,0.196493,0.278048,0.577409,1.16761,0.704143,0.175708,0.465923,0.796826,1.08382,0.819379,0.139369,0.239765,0.559913,1.11829,0.67354,0.178343,0.486157,0.835203,1.06469,0.828201
0.21019,0.07118,0.038402,0.009186,0.022495,0.164914,0.40158,0.568239,0.768382,1.26662,0.129115,0.347288,0.585188,0.74815,1.27977,0.170634,0.495283,0.911399,1.07879,1.46643,0.132823,0.430086,0.843751,1.06373,1.43514,0.204153,0.51586,0.646139,0.676494,1.27531,0.170908,0.338805,0.568734,0.754312,1.02099,0.201791,0.539691,0.738809,0.721728,1.36348,0.0807872,0.32554,0.580124,0.748974,0.985998,0.239677,0.08771,0.054801,0.023773,0.017056,0.173017,0.415511,0.696244,0.982451,1.51581,0.137237,0.379459,0.713691,0.966646,1.57238,0.177287,0.458424,0.786148,0.879331,1.23936,0.140124,0.406485,0.758147,0.896163,1.18398,0.141075,0.467264,0.663819,0.700093,1.35492,0.0885851,0.293544,0.568716,0.726412,1.04182,0.310748,0.533028,0.690596,0.686591,1.34042,0.0908236,0.300746,0.586873,0.722372,1.04129
0.058215,0.019981,0.016479,0.006597,0.005093,0.033696,0.093249,0.363017,0.463398,0.347301,0.047699,0.113742,0.330689,0.482345,0.346507,0.044623,0.126771,0.545156,0.714781,0.407901,0.051335,0.132067,0.516037,0.684877,0.407741,0.0611024,0.12934,0.574053,0.549561,0.495623,0.0860729,0.164352,0.19634,0.489123,0.780809,0.0764624,0.128484,0.571887,0.523476,0.509954,0.0966143,0.182506,0.20453,0.513292,0.743505,0.050306,0.022394,0.027011,0.016469,0.004501,0.039509,0.098977,0.42335,0.604043,0.429601,0.049597,0.125467,0.416337,0.62302,0.406709,0.039889,0.120314,0.476367,0.587178,0.336575,0.052559,0.12866,0.438435,0.563938,0.355483,0.0559671,0.104388,0.565156,0.500539,0.489909,0.0781553,0.199739,0.222411,0.513014,0.752471,0.0510048,0.15309,0.556424,0.521081,0.52283,0.0766586,0.180908,0.194832,0.490481,0.771017
